id,code,name,level,track,group,focus,ok
,AUD6V014,Análisis de problemas informáticos en Diseño    ,abierto,V y M,Ciencia y Tecnología,Computación y Pensamiento Lógico,0
,AUD5I016,Análisis y fabricación avanzada asistidos por computador   ,abierto,I y S,Ciencia y Tecnología,Manufactura y Producción Industrial,0
,AUD5V0011,Animación Digital        ,abierto,V y M,Ciencia y Tecnología,Post-producción y Medios Digitales,0
,AUD7V008,Animación y edición digital      ,abierto,V y M,Ciencia y Tecnología,Post-producción y Medios Digitales,0
,AUD5I033,Arquitectura sin Residuos - Prefabricación e Industrialización   ,abierto,I y S,Ciencia y Tecnología,Ecodiseño y Sostenibilidad Material,0
,AUD5I031,"Artesanías: cultura, técnica y producto     ",abierto,I y S,Morfología,Oficios y Cultura Material,0
,AUD5I025,BattleBots: Interfacultades        ,abierto,I y S,Ciencia y Tecnología,Robótica y Mecatrónica,0
,AUD5I013,Biobased materials for the built environment    ,abierto,I y S,Ciencia y Tecnología,Bio-materiales y Nuevas Tecnologías,0
,AUD7I026,Biomecánica e innovación aplicada (ortopedia)     ,abierto,I y S,Ciencia y Tecnología,Biomecánica y Ergonomía Avanzada,0
,"AUD5I030, AUD6I024",Biomecánica e innovación aplicada al diseño ortopédico   ,abierto,I y S,Ciencia y Tecnología,Biomecánica y Ergonomía Avanzada,0
,AUD5I007,Bocetaje avanzado para el diseño del producto   ,abierto,I y S,Morfología,Representación y Bocetaje (Sketching),0
,AUDIV005,Branding         ,abierto,Ambas,Comunicación y Gestión del Diseño,Comunicación Visual Estratégica,0
,AUDIV007,Color aplicado al diseño      ,abierto,Ambas,Morfología,Teoría y Aplicación del Color (CMF),0
,AUDIV002,Color y percepción       ,abierto,Ambas,Morfología,Teoría y Aplicación del Color (CMF),0
,AUDIV012,"Color, anatomía y lenguaje      ",abierto,Ambas,Morfología,Teoría y Aplicación del Color (CMF),0
,AUD7I015,"Color, materiales y acabados (CMF)     ",abierto,I y S,Morfología,Teoría y Aplicación del Color (CMF),0
,AUD7V016,"Color, semiótica y lenguaje      ",abierto,V y M,Morfología,Teoría y Aplicación del Color (CMF),0
,AUD5I017,Complementos sostenibles y Joyería contemporánea     ,abierto,I y S,Morfología,Oficios y Accesorios,0
,AUD5I012,"Comunicación, prototipado e implementación de servicios    ",abierto,I y S,Comunicación y Gestión del Diseño,Diseño de Servicios y Experiencia,0
,AUD5I032,Construcción en madera       ,abierto,I y S,Ciencia y Tecnología,Sistemas Constructivos y Estructuras,0
,AUD7V006,Contingencia social y diseño centrado en el usuario  ,abierto,V y M,Comunicación y Gestión del Diseño,Vinculación Territorial y Social,0
,AUD7I018,Creación textil participativa       ,abierto,I y S,Comunicación y Gestión del Diseño,Vinculación Territorial y Social,0
,"AUD6V013, AUD7V010",Creación y Diseño de personajes para animación   ,abierto,V y M,Morfología,Narrativa Visual e Ilustración,0
,AUD5I018,Creatividad para el Diseño industrial y servicios   ,abierto,I y S,Comunicación y Gestión del Diseño,Metodologías Creativas,0
,AUD5V013,Creatividad y diseño       ,abierto,V y M,Comunicación y Gestión del Diseño,Metodologías Creativas,0
,AUD7I019,Creatividad y gamificación       ,abierto,I y S,Comunicación y Gestión del Diseño,Metodologías Creativas,0
,AUDIV021,"Crítica cultural, visualidades feministas      ",abierto,Ambas,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUDIV057,Croquis y dibujo arquitectónico      ,abierto,Ambas,Morfología,Representación y Bocetaje (Sketching),0
,AUD7V012,Cultura visual en Latinoamérica      ,abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD5I014,Design sketching. Bocetaje para Diseñadores Industriales    ,abierto,I y S,Morfología,Representación y Bocetaje (Sketching),0
,AUDIV023,Diseño automotriz        ,abierto,Ambas,Morfología,Morfología de Objetos Complejos,0
,AUD5I015,Diseño de accesorios con reinvención de materiales   ,abierto,I y S,Morfología,Experimentación Material y Upcycling,0
,AUD6V009,Diseño de Contexto y el viaje del cliente  ,abierto,V y M,Comunicación y Gestión del Diseño,Diseño de Servicios y Experiencia,0
,AUD6V027,Diseño de ediciones experimentales      ,abierto,V y M,Morfología,Composición Editorial y Tipográfica,0
,AUDIV020,Diseño de instrumentos musicales digitales     ,abierto,Ambas,Ciencia y Tecnología,Prototipado Electrónico e Interacción,0
,AUD7V021,Diseño de interacción y experiencia     ,troncal,V y M,Comunicación y Gestión del Diseño,Diseño de Servicios y Experiencia,0
,AUD5I022,Diseño de interfaz electrónica mediante Arduino    ,abierto,I y S,Ciencia y Tecnología,Prototipado Electrónico e Interacción,0
,AUD6I007,Diseño de productos y servicios basado en emociones  ,abierto,I y S,Comunicación y Gestión del Diseño,Diseño de Servicios y Experiencia,0
,"AUD6I019, AUDIV059",Diseño de vehículos       ,abierto,Ambas,Morfología,Morfología de Objetos Complejos,0
,AUD6V006,Diseño de vídeo juegos      ,abierto,V y M,Ciencia y Tecnología,Programación y Desarrollo Web,0
,AUD5V006,Diseño editorial        ,abierto,V y M,Morfología,Composición Editorial y Tipográfica,0
,AUD6V020,Diseño editorial y publicación      ,troncal,V y M,Comunicación y Gestión del Diseño,Gestión de Publicaciones,0
,AUD5V024,Diseño editorial: de la creación a la publicación  ,abierto,V y M,Comunicación y Gestión del Diseño,Gestión de Publicaciones,0
,AUD7I016,Diseño estratégico de productos y servicios    ,abierto,I y S,Comunicación y Gestión del Diseño,Estrategia y Sostenibilidad,0
,AUD5V025,Diseño Gráfico para industrias culturales     ,abierto,V y M,Comunicación y Gestión del Diseño,Gestión Cultural y de Industrias,0
,AUD6V023,Diseño Gráfico para las Artes     ,abierto,V y M,Comunicación y Gestión del Diseño,Gestión Cultural y de Industrias,0
,AUD7I006,"Diseño para el ciclismo, objetos     ",abierto,I y S,Morfología,Morfología de Objetos Complejos,0
,AUDIV013,Diseño para Innovación Social      ,abierto,Ambas,Comunicación y Gestión del Diseño,Vinculación Territorial y Social,0
,AUD6I018,Diseño y construcción sustentable con madera masiva   ,abierto,I y S,Ciencia y Tecnología,Sistemas Constructivos y Estructuras,0
,AUD5V012,Diseño y Cultura Visual en Chile    ,abierto,V y M,Comunicación y Gestión del Diseño,Teoría y Crítica Cultural,0
,AUD6I014,Diseño y energías renovables      ,abierto,I y S,Ciencia y Tecnología,Tecnologías de Energía y Sustentabilidad,0
,AUD7V009,Diseño y estrategia de publicidad y propaganda   ,abierto,V y M,Comunicación y Gestión del Diseño,Comunicación Visual Estratégica,0
